,id,tags,lonlat,amenity_name,shop,healthcare
44,736602177,"{'name': 'Kimia Farma', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.0162600000004, 1.137150000000015)",pharmacy,,
45,736604481,"{'name': 'Promed Medical Clinic And Lab', 'source': 'Batam Mapping Project', 'amenity': 'doctors', 'garmin_type': '0x3002'}","(104.01628000000042, 1.137110000000015)",doctors,,
46,736609369,"{'name': 'RS Elisabeth', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x6408'}","(104.01508000000047, 1.1357500000000145)",hospital,,
47,736610324,"{'name': 'Vitka Farma', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.01242000000049, 1.1420600000000147)",pharmacy,,
48,736618330,"{'amenity': 'hospital', 'garmin_type': '0x6408', 'name': 'Puskesmas Lubuk Baja', 'source': 'Batam Mapping Project'}","(104.00167980000039, 1.1439815000000262)",hospital,,
49,736618836,"{'name': 'Kimia Farma Nagoya', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.0145200000004, 1.1432600000000264)",pharmacy,,
50,736618838,"{'name': 'Dentist Suhermanto', 'source': 'Batam Mapping Project', 'amenity': 'dentist', 'garmin_type': '0x4b00'}","(104.0149700000004, 1.1429000000000265)",dentist,,
51,736645445,"{'name': 'Klinik Bersalin Elizabeth', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x4b00'}","(104.02214000000045, 1.1842300000000274)",hospital,,
52,736645876,"{'addr:city': 'Batam', 'addr:postcode': '29453', 'addr:street': 'Jl.Talamatea', 'amenity': 'hospital', 'garmin_type': '0x4b00', 'healthcare': 'hospital', 'name': 'Puskesmas Tg.Sengkuang', 'source': 'Batam Mapping Project'}","(104.01473530000044, 1.1830806000000276)",hospital,,hospital
53,851224943,"{'name': 'Apotek Keluarga', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.06934999999969, 1.104300000000042)",pharmacy,,
54,895872215,"{'name': 'Mitrasana', 'amenity': 'pharmacy'}","(107.10516659999949, -6.267136599999997)",pharmacy,,
55,902927483,"{'name': 'RSB Nuruddiniah', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x6408'}","(104.02767000000006, 1.1427699999999905)",hospital,,
56,902955280,"{'name': 'Puskesmas Sungai Panas', 'source': 'Batam Mapping Project', 'amenity': 'hospital', 'garmin_type': '0x4b00'}","(104.02783000000004, 1.1454999999999902)",hospital,,
57,903033687,"{'name': 'Apotic Najmi', 'source': 'Batam Mapping Project', 'amenity': 'pharmacy', 'garmin_type': '0x2e05'}","(104.02688000000033, 1.1589699999999883)",pharmacy,,
58,903048758,"{'amenity': 'hospital', 'garmin_type': '0x6408', 'healthcare': 'hospital', 'name': 'RSB Budi Rosari', 'source': 'Batam Mapping Project'}","(104.03057710000019, 1.1581747999999896)",hospital,,hospital
59,939067188,"{'name': 'Dokter Praktek', 'amenity': 'hospital'}","(116.83811629999978, -1.2548965999999833)",hospital,,
60,961146962,{'amenity': 'toilets'},"(115.22585939999969, -8.797223399999998)",toilets,,
61,964939213,"{'amenity': 'pharmacy', 'brand': 'Kimia Farma', 'brand:wikidata': 'Q11264892', 'brand:wikipedia': 'en:Kimia Farma', 'healthcare': 'pharmacy', 'is_in': 'Legian,South Bali,Bali,Indonesia', 'name': 'Kimia Farma'}","(115.17321119999976, -8.712574200000002)",pharmacy,,pharmacy
62,965148761,"{'name': 'Guardian', 'is_in': 'Kuta,South Bali,Bali,Indonesia', 'amenity': 'pharmacy'}","(115.17414559999975, -8.717327799999998)",pharmacy,,
63,986304105,{'amenity': 'hospital'},"(124.84323019999945, 1.4752057000000511)",hospital,,
64,1067112056,"{'name': 'Klinik Putu Manuaba', 'is_in': 'South Bali,Bali,Indonesia', 'amenity': 'hospital'}","(115.16795159999998, -8.736851400000006)",hospital,,
65,1077157048,"{'name': 'RSUD Cilacap', 'amenity': 'hospital', 'emergency': 'yes'}","(109.01583430000017, -7.717319699999995)",hospital,,
66,1107672696,"{'amenity': 'pharmacy', 'name': 'Apotik Kimia Farma', 'name:en': 'Kimia Farma'}","(107.62856810000007, -6.904324999999975)",pharmacy,,
67,1116346990,"{'fee': 'yes', 'amenity': 'toilets', 'wheelchair': 'no'}","(107.61873890000032, -6.759273200000003)",toilets,,
68,1116346998,"{'fee': 'yes', 'amenity': 'toilets', 'tourism': 'information', 'information': 'office'}","(107.61894670000032, -6.759316100000003)",toilets,,
69,1188763571,"{'name': 'Budi Farma', 'amenity': 'pharmacy'}","(104.00796139999997, 1.1462104000000002)",pharmacy,,
70,1219240405,"{'name': 'Rumah Sakit Umum Daerah Syeh Yusuf', 'amenity': 'hospital'}","(119.46298239999992, -5.210579100000003)",hospital,,
71,1219240962,"{'name': 'PUSKESMAS SUNGGUMINASA', 'amenity': 'hospital'}","(119.4513307999999, -5.2029129000000065)",hospital,,
72,1221305943,"{'name': 'PUSTU/PUSKESMAS PEMBANTU', 'amenity': 'hospital'}","(119.46036519999994, -5.272133500000009)",hospital,,
73,1256938453,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Klinik Suzie BAS'}","(106.74652219999973, -6.322145099999998)",clinic,,clinic
74,1259326470,"{'name': 'Apotik', 'amenity': 'pharmacy'}","(119.94355189999983, -5.544817299999989)",pharmacy,,
75,1259328249,"{'name': 'Apotik Srikandi', 'amenity': 'pharmacy', 'dispensing': 'no'}","(119.94258219999982, -5.544190599999989)",pharmacy,,
76,1259328384,"{'name': 'Apotik', 'amenity': 'pharmacy'}","(119.94316029999982, -5.542863099999988)",pharmacy,,
77,1261568290,"{'addr:city': 'Bayangkara, Jayapura Utara, Kota Jayapura, Papua', 'addr:housenumber': '1', 'addr:street': 'Jl. Kesehatan', 'amenity': 'hospital', 'emergency': 'yes', 'name': 'RSUD Papua', 'name:en': 'Papua Regional Hospital', 'phone': '(0967) 533781'}","(140.71012729999984, -2.5346190000000033)",hospital,,
78,1266919811,"{'name': 'Puskesmas Bolo Bima', 'amenity': 'hospital'}","(118.61608230000006, -8.50430800000001)",hospital,,
79,1271084213,"{'name': 'PUSTU Desa Garassikang', 'amenity': 'hospital'}","(119.53960969999996, -5.580567500000013)",hospital,,
80,1271859052,"{'addr:city': 'sangkawati', 'addr:postcode': '83552', 'amenity': 'hospital', 'healthcare': 'hospital', 'is_in:county': 'Batukliang', 'is_in:region': 'Lombok Tengah', 'is_in:state': 'Nusa Tenggara Barat', 'name': 'Pagutan'}","(116.28226569999994, -8.629779099999993)",hospital,,hospital
81,1273023778,"{'name': 'Pustu Desa Maero', 'amenity': 'hospital'}","(119.66834569999978, -5.5925448999999965)",hospital,,
82,1286233091,"{'name': 'Puskesmas Lowu-Lowu', 'toilet': 'WC Pribadi (Dalam)', 'amenity': 'hospital', 'building': 'yes', 'emergency': 'no', 'designation': 'Lowu-Lowu', 'building:use': 'government', 'water_source': 'well', 'roof:material': 'zink;asbestos', 'building:levels': '1', 'building:material': 'brick', 'building:structure': 'confined_masonry'}","(122.62908390000004, -5.407980499999926)",hospital,,
83,1288737459,"{'name': 'Puskesmas', 'amenity': 'hospital', 'emergency': 'yes'}","(123.06248370000013, -4.673490699999927)",hospital,,
84,1308374945,"{'amenity': 'hospital', 'healthcare': 'hospital', 'is_in:country': 'Indonesia', 'is_in:county': 'Sibolga Selatan', 'is_in:region': 'Kota Sibolga', 'is_in:state': 'Sumatera Utara', 'name': 'Pancuran Kerambil'}","(98.78646349999974, 1.7351816000000033)",hospital,,hospital
85,1314024777,"{'name': 'National Laboratory', 'amenity': 'hospital'}","(125.5943510000001, -8.554269299999978)",hospital,,
86,1340370919,"{'name': 'Puskesmas Simpang Rimba', 'amenity': 'hospital'}","(106.00183030000001, -2.560310300000009)",hospital,,
87,1341296744,"{'name': 'APOTIK RUMINI', 'amenity': 'pharmacy', 'addr:postcode': '60119', 'addr:housename': 'APOTIK RUMINI'}","(112.77006570000017, -7.2999506000000025)",pharmacy,,
88,1341957637,"{'name': 'Rumah Sakit Gigi dan Mulut Unpad', 'amenity': 'dentist'}","(107.61911310000026, -6.890687600000004)",dentist,,
89,1342519328,"{'name': 'Rumah Bersalin Rona', 'amenity': 'doctors'}","(106.11172690000024, -2.124409500000007)",doctors,,
90,1342948126,"{'name': 'Rumah Sakit Khusus Gigi', 'amenity': 'hospital'}","(107.61411400000003, -6.906335899999996)",hospital,,
91,1342970054,"{'name': 'Rumah Sakit Emma Puradiredja', 'amenity': 'hospital', 'emergency': 'no'}","(107.61364929999999, -6.913246799999996)",hospital,,
92,1342970056,"{'name': 'Rumah Sakit Palang Merah Indonesia Citarum', 'amenity': 'hospital'}","(107.61961189999998, -6.908816799999996)",hospital,,
93,1344318757,"{'name': 'DRG. AISYAH', 'amenity': 'dentist'}","(118.75944639999996, -8.468106699999993)",dentist,,
94,1344318832,"{'addr:housenumber': '1', 'addr:postcode': '84113', 'addr:street': 'Jl. IR. Sutami', 'amenity': 'pharmacy', 'dispensing': 'Apotik', 'name': 'Sari Farma', 'name:en': 'Rumah Sakit Dokter Agung', 'opening_hours': '24/7'}","(118.76347499999996, -8.473579099999991)",pharmacy,,
95,1346718923,"{'name': 'Rumah Dokter', 'amenity': 'hospital', 'emergency': 'no'}","(118.61632620000039, -8.505101399999992)",hospital,,
96,1347812452,"{'name': 'Dokter H. Sucipto', 'amenity': 'hospital'}","(118.72583600000047, -8.452681200000017)",hospital,,
97,1348940249,"{'name': 'RS Tripat', 'amenity': 'hospital'}","(116.15050269999989, -8.668708799999992)",hospital,,
98,1352426272,"{'amenity': 'doctors', 'fixme': 'Survey opening and closing time, was ""12"".', 'name': 'Dokter Dani', 'shop': 'doityourself'}","(120.26077729999957, -9.656011800000059)",doctors,doityourself,
99,1354109399,"{'amenity': 'pharmacy', 'name': 'Klinik Kurnia Asih'}","(106.81433649999967, -6.382301300000031)",pharmacy,,
100,1354137371,"{'name': 'Klinik Bhakti Asih', 'amenity': 'hospital'}","(106.81427409999966, -6.394546200000032)",hospital,,
101,1354148415,"{'name': 'Klinik Bahar Media', 'amenity': 'hospital'}","(106.7958902999997, -6.394631400000031)",hospital,,
102,1357468165,"{'name': 'RSUD kab.Takalar', 'amenity': 'hospital'}","(119.43802390000015, -5.422371900000015)",hospital,,
103,1358983655,"{'name': 'Puskesmas Pembantu', 'amenity': 'hospital'}","(123.09066010000008, -4.792198800000017)",hospital,,
104,1362228728,"{'name': 'Rumah Sakit Bakhti Medika', 'amenity': 'hospital'}","(122.60815429999998, -5.466769699999991)",hospital,,
105,1362811045,"{'name': 'Apotik Jireh', 'amenity': 'pharmacy'}","(112.79126590000021, -7.3160351)",pharmacy,,
106,1363559926,"{'name': 'Dokter A', 'amenity': 'doctors'}","(118.43351740000007, -8.54655489999998)",doctors,,
107,1363785523,"{'name': 'Apotek Kimia Farma', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(106.10858369999994, -2.1223180999999784)",pharmacy,,
108,1364687652,"{'name': 'Apotik/Toko Obat Asli', 'amenity': 'pharmacy', 'dispensing': 'no'}","(106.11554179999992, -2.1290247999999807)",pharmacy,,
109,1367466674,"{'name': 'APOTIK HARAPAN KITA', 'amenity': 'pharmacy', 'dispensing': 'no'}","(120.26385610000023, -9.652561700000012)",pharmacy,,
110,1367963618,{'amenity': 'toilets'},"(110.49441560000021, -7.750127199999993)",toilets,,
111,1367963625,{'amenity': 'toilets'},"(110.4936550000002, -7.752845399999993)",toilets,,
112,1376528746,"{'name': 'RS Ibnu Sina', 'amenity': 'hospital'}","(100.36717779999981, -0.9212008999999726)",hospital,,
113,1376961352,"{'name': 'Rumah Sakit Anak Bersalin Muslimat', 'amenity': 'hospital', 'addr:city': 'Jombang', 'emergency': 'yes', 'addr:street': 'Jl. Urip Sumoharjo'}","(112.23387099999962, -7.5442151000000015)",hospital,,
114,1381753529,"{'name': 'Rumah Sakit Ginjal Nyonya Ra Habibie', 'amenity': 'hospital'}","(107.62034329999975, -6.885340299999989)",hospital,,
115,1381753576,"{'amenity': 'hospital', 'name': 'Puskesmas Dago', 'name:en': 'Puskesmas'}","(107.61857519999975, -6.875974199999989)",hospital,,
116,1383067386,"{'amenity': 'hospital', 'name': 'Posyandu'}","(118.31687720000016, -8.498104600000003)",hospital,,
117,1384091833,"{'amenity': 'doctors', 'operator': 'Polindes Lanci Jaya'}","(118.33557689999994, -8.470335100000003)",doctors,,
118,1384130822,{'amenity': 'toilets'},"(118.33605110000002, -8.472222800000008)",toilets,,
119,1388222204,"{'name': 'Puskesmas Cikutra Lama', 'amenity': 'hospital'}","(107.62724019999993, -6.8913271000000105)",hospital,,
120,1388627442,"{'name': 'RS Reksodiwiryo', 'amenity': 'hospital'}","(100.37229190000015, -0.950856300000018)",hospital,,
121,1391993060,"{'amenity': 'hospital', 'emergency': 'yes', 'name': 'Rumah Sakit Umum Daerah dr. Saiful Anwar', 'name:id': 'Rumah Sakit Umum dr. Saiful Anwar'}","(112.6311427000002, -7.972152800000066)",hospital,,
122,1395484939,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Guardian'}","(106.83699310000014, -6.219521399999959)",pharmacy,,pharmacy
123,1403285624,"{'name': 'PMI', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(116.11878399999996, -8.583926799999992)",pharmacy,,
124,1403285674,"{'name': 'PUSKESMAS Taliwang', 'amenity': 'hospital'}","(116.12590629999995, -8.57799119999999)",hospital,,
125,1405249603,{'amenity': 'pharmacy'},"(116.4221485, -8.592492099999953)",pharmacy,,
126,1405994349,"{'name': 'Puskesmas Wawo', 'amenity': 'hospital'}","(118.84341730000003, -8.52021119999996)",hospital,,
127,1406027156,"{'name': 'Pustu Desa Kambilo', 'amenity': 'hospital'}","(118.8522034, -8.540200699999957)",hospital,,
128,1411230921,"{'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'puskesmas kute'}","(116.27494370000008, -8.885082100000009)",hospital,,hospital
129,1411232667,"{'amenity': 'hospital', 'name': 'Puskesmas Janapria'}","(116.39934040000006, -8.693342600000008)",hospital,,
130,1431948344,{'amenity': 'hospital'},"(119.37971269999994, -9.620358299999989)",hospital,,
131,1433490895,"{'name': 'Rumah Sakit Karitas', 'amenity': 'hospital', 'operator': 'Yayasan Karitas'}","(119.23046119999917, -9.442440999999942)",hospital,,
132,1440386831,"{'name': 'RSUD Dr. Achmad Diponegoro', 'amenity': 'hospital'}","(112.92353019999982, 0.8695012000000186)",hospital,,
133,1441078875,"{'name': 'Apotik Husada', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92469629999995, 0.8594003000000289)",pharmacy,,
134,1441078876,"{'name': 'Apotek Arwana', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92311879999995, 0.8689323000000289)",pharmacy,,
135,1441078954,"{'name': 'Apotek Kita Farma 2', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92274319999994, 0.8705640000000288)",pharmacy,,
136,1441079007,"{'name': 'Puskesmas Kedamin', 'amenity': 'doctors'}","(112.92499699999993, 0.8387196000000288)",doctors,,
137,1441079010,"{'name': 'Puskesmas Pembantu Desa Nanga Sambus', 'amenity': 'doctors'}","(112.95054079999993, 0.8675392000000288)",doctors,,
138,1441079014,"{'name': 'Puskesmas Putussibau Utara', 'amenity': 'doctors'}","(112.92898799999993, 0.8876086000000288)",doctors,,
139,1441079032,"{'name': 'Apotek Rasi Farma Jaya', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92494229999994, 0.8626734000000288)",pharmacy,,
140,1441079221,"{'name': 'Apotek Sentosa', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92429199999998, 0.8667361000000291)",pharmacy,,
141,1441079265,"{'name': 'Apotek Uncak Kapuas', 'amenity': 'pharmacy', 'dispensing': 'yes'}","(112.92300099999996, 0.871856400000029)",pharmacy,,
142,1450238977,"{'name': 'Puskesmas Jatinangor', 'amenity': 'hospital'}","(107.77747370000063, -6.932402099999999)",hospital,,
143,1453634668,{'amenity': 'hospital'},"(125.91579989999988, -9.025594899999971)",hospital,,
144,1512976800,{'amenity': 'pharmacy'},"(115.17179150000003, -8.7124348)",pharmacy,,
145,1512978443,{'amenity': 'pharmacy'},"(115.17237080000002, -8.712169600000001)",pharmacy,,
146,1513938951,"{'name': 'Posyandu PNPM Melati', 'amenity': 'hospital', 'building': 'yes'}","(123.83575960000023, -10.022297300000009)",hospital,,
147,1543770031,"{'name': 'Apotik K24', 'amenity': 'pharmacy'}","(110.60550720000037, -7.537365000000032)",pharmacy,,
148,1543807251,"{'name': 'RSU Pandan Arang', 'amenity': 'hospital', 'emergency': 'yes'}","(110.5900636000003, -7.533584300000033)",hospital,,
149,1543960909,"{'amenity': 'pharmacy', 'dispensing': 'no', 'name': 'Kimia Farma', 'opening_hours': 'Mo-Su,PH 06:00-24:00'}","(110.59132840000032, -7.535156600000034)",pharmacy,,
150,1544575653,"{'name': 'Apotik Baya Husada', 'amenity': 'pharmacy'}","(110.60129180000052, -7.531736800000031)",pharmacy,,
151,1545435096,"{'name': 'PKU Aisyiyah Boyolali', 'amenity': 'hospital', 'emergency': 'yes'}","(110.60701469999995, -7.520142099999996)",hospital,,
152,1570532173,"{'name': 'Puskesmas Birobuli', 'amenity': 'hospital', 'addr:street': 'Jalan Abdul Rahman Saleh'}","(119.89509609999995, -0.9193035000000324)",hospital,,
153,1570532193,"{'name': 'Rumah Sakit Annisa', 'amenity': 'hospital', 'addr:street': 'Jalan Tanjung Malakosa'}","(119.88470299999994, -0.9022571000000323)",hospital,,
154,1570532218,"{'name': 'Rumah Sakit Dira', 'amenity': 'hospital', 'addr:street': 'Jalan Kartini'}","(119.87637529999995, -0.9019280000000324)",hospital,,
155,1570532219,"{'addr:street': 'Jalan Sisingamangaraja', 'amenity': 'hospital', 'name': 'Rumah Sakit Korem 132'}","(119.88747849999994, -0.8958697000000324)",hospital,,
156,1585452495,"{'name': 'Karona Farma', 'amenity': 'pharmacy', 'dispensing': 'no'}","(123.6283624, -10.17175940000002)",pharmacy,,
157,1588110886,"{'name': 'Pskesmas Donggo', 'amenity': 'hospital'}","(118.59518299999978, -8.424850400000015)",hospital,,
158,1611448022,"{'name': 'dr. Fatimah', 'amenity': 'doctors', 'opening_hours': 'Senin-Minggu 16:00-22.00'}","(118.63901030000075, -8.510122899999974)",doctors,,
159,1611551974,"{'amenity': 'pharmacy', 'dispensing': 'yes'}","(118.63903740000073, -8.509989399999977)",pharmacy,,
160,1612723674,"{'name': 'Apotik Kasih Bunda', 'amenity': 'pharmacy', 'addr:city': 'Kupang', 'dispensing': 'yes', 'addr:street': 'Jl. Cak Doko', 'addr:country': 'ID', 'contact:phone': '0380829398', 'opening_hours': '08:00-21:00', 'addr:housenumber': '18', 'health_facility:type': 'pharmacy', 'health_facility:access': 'public', 'medical_system:western': 'yes'}","(123.5971815, -10.166936900000055)",pharmacy,,
161,1612726049,"{'addr:country': 'ID', 'addr:housenumber': '24', 'addr:street': 'Jl Sumatera', 'amenity': 'pharmacy', 'contact:phone': '(0380) 831783', 'health_facility:type': 'pharmacy', 'medical_system:western': 'yes', 'name': 'Graciana'}","(123.5876242, -10.157550400000057)",pharmacy,,
